,date,open,high,low,close,volume,sma,macd,stochastic_k,stochastic_d,rsi,william_r,trend,trading_signal,trading_decision,p_t_s_lstm
105,1981-07-15,0.435268,0.4375,0.435268,0.01959,2738400.0,0.02070806666666667,-0.001656549105301934,6.6065182880052005,6.501671589872871,37.827889922147094,386.81822668701636,down,0.10019907100199092,,
106,1981-07-16,0.446429,0.450893,0.446429,0.020092,3808000.0,0.02050046666666666,-0.0014929411112268448,7.927385458449299,6.2868936253677905,41.28609797734649,386.4370486799243,down,0.3654287901990812,,
107,1981-07-17,0.462054,0.464286,0.462054,0.020795,4956000.0,0.02030626666666667,-0.0012342734191198267,10.109951061370364,6.847780691946308,45.83020927427544,395.9342308992164,down,0.5,,
108,1981-07-20,0.433036,0.433036,0.430804,0.019389,5913600.0,0.0200384,-0.0011216130381101648,12.316734143456024,8.21461826927492,39.28208095504528,445.53782857142835,down,0.5,,
109,1981-07-21,0.430804,0.430804,0.428571,0.019288,7985600.0,0.019817400000000002,-0.0010231450532270162,14.534865139529352,10.118023554425195,38.85263691773215,629.2430245418526,down,0.2894185437401781,,
110,1981-07-22,0.408482,0.408482,0.404018,0.018183,5667200.0,0.01963653333333333,-0.0010107873303383322,16.260211207878207,12.32051678145188,34.41921883883049,630.7900152599083,down,0.0,,
111,1981-07-23,0.415179,0.417411,0.415179,0.018685,8612800.0,0.01950253333333333,-0.0009432053565564187,17.861944005132095,14.370603496954491,37.88681194979142,630.0872194766829,down,0.0,,
112,1981-07-24,0.428571,0.430804,0.428571,0.019288,7212800.0,0.01940873333333333,-0.0008383592275634787,19.683109278322988,16.21900678417985,41.86330444864155,629.2430245418526,down,0.1,,
113,1981-07-27,0.446429,0.448661,0.446429,0.020092,4334400.0,0.019415466666666662,-0.0006279083838713409,22.0592564023664,17.935088163777724,46.75767430277885,628.1174312954122,down,0.5,,
114,1981-07-28,0.433036,0.433036,0.430804,0.019389,5712000.0,0.01936193333333333,-0.0004826766670908006,24.42256500649967,19.86810322860713,43.32326845428904,629.1016253902475,down,0.1502487562189057,,
115,1981-07-29,0.426339,0.426339,0.424107,0.019087,3875200.0,0.019234666666666667,-0.00039987164058526836,26.76090148678089,22.054976895729645,41.89948576703706,664.8234152169042,down,0.0,,
116,1981-07-30,0.439732,0.444196,0.439732,0.019791,2475200.0,0.019261466666666668,-0.0002710265822696567,29.400153663821087,24.414240965215626,46.32764797171428,663.7721197640558,down,0.0,,
117,1981-07-31,0.446429,0.448661,0.446429,0.020092,2738400.0,0.0194088,-0.00014987890828715295,32.42723990485367,26.861206719033852,48.147320619079025,737.0312603703459,down,0.11117256637168148,,
118,1981-08-03,0.446429,0.446429,0.441964,0.019891,3108000.0,0.01951593333333333,-7.154619950222943e-05,35.545033107679586,29.529431685151852,47.00136614074575,737.364770690914,down,0.0,,
119,1981-08-04,0.448661,0.450893,0.448661,0.020192,7918400.0,0.0195896,4.496556851068395e-06,38.85775287577867,32.457475558784736,48.9604681330841,736.8653348377251,down,0.2271493212669682,,
120,1981-08-05,0.462054,0.464286,0.462054,0.020795,4373600.0,0.01966993333333333,0.00014860639832560418,42.65048712998377,35.610008629437274,52.73020944718479,735.8648038760207,down,0.5,,
121,1981-08-06,0.453125,0.453125,0.450893,0.020293,2632000.0,0.01968333333333333,0.00020193059385665776,46.2918333160115,39.01775770448064,49.45537426085916,736.6977500497777,up,1.0,sell,
122,1981-08-07,0.450893,0.453125,0.450893,0.020293,2301600.0,0.019649866666666668,0.0002684025800661453,49.89881277301826,42.600024440591284,49.455374260859145,736.6977500497777,up,1.0,,
123,1981-08-11,0.441964,0.441964,0.4375,0.01969,17864000.0,0.01966993333333333,0.00025429786628706347,52.967758150296746,46.280377739671145,45.51725406042822,737.6982810114821,up,1.0,,
124,1981-08-12,0.430804,0.430804,0.428571,0.019288,6568800.0,0.01966993333333333,0.0001842866644095123,55.278798888698816,49.71946807977547,43.05575267314723,738.3653016526184,up,1.0,,
125,1981-08-13,0.417411,0.417411,0.415179,0.018685,6871200.0,0.0197034,5.609679887561003e-05,56.340452745579604,52.715123270671256,39.59668688204468,907.408312460546,down,0.5,buy,
126,1981-08-14,0.412946,0.412946,0.408482,0.018384,6048000.0,0.01968333333333333,-4.637400873549677e-05,56.07316736342501,54.86233659485836,37.957389157866906,908.0212596982108,down,0.5,,
127,1981-08-17,0.399554,0.399554,0.395089,0.017781,4726400.0,0.019582866666666664,-0.0001901969430191976,54.24886374027687,55.89747299923446,34.84512459149775,800.1308149953412,down,0.5,,
128,1981-08-18,0.390625,0.390625,0.386161,0.01738,4250400.0,0.019402066666666662,-0.00037142555815760514,51.2012350934724,55.5541612830938,32.91247776337414,645.8459181756432,down,0.5,,
129,1981-08-19,0.386161,0.386161,0.381696,0.017179,5168800.0,0.019254733333333336,-0.0005336382534876018,47.29163844082085,53.8410887323914,31.955733995128146,572.2969600000004,down,0.4545454545454546,,
130,1981-08-20,0.386161,0.388393,0.386161,0.01738,4278400.0,0.01914093333333333,-0.0006252120298270747,42.93500815663457,50.91391242485668,34.021228167002285,541.1139363119022,down,0.5,,
131,1981-08-21,0.363839,0.363839,0.359375,0.016174,10477600.0,0.018899799999999998,-0.0008037537416517858,37.86590497386496,47.142627230309245,28.44248989971429,542.5741615207652,down,0.5,,
132,1981-08-24,0.33928600000000003,0.33928600000000003,0.337054,0.015169,5768000.0,0.018571599999999997,-0.0010367509426302095,32.38695207994981,42.697517190440095,24.793832404368207,428.0933362564461,down,0.0,,
133,1981-08-25,0.345982,0.348214,0.345982,0.015571000000000003,10175200.0,0.018283599999999997,-0.0011514884658636489,27.29460019746097,37.729288403483096,28.732090543009928,352.6746415995977,down,0.16648230088495686,,
